Sr_No,Date,Startup_Name,IndustryVertical,SubVertical,City,Investors Name,Investment_Type,Amount_in_USD,Remarks
767,21-06-2017,OneAssist,Consumer Internet,Credit card fraud protection,Mumbai,Sequoia India,Private Equity Round,,nan
768,22-06-2017,Julia Computing,Technology,Open Source Language for Data Science and Machine Learning,Bengaluru,"General Catalyst Partners, Founder Collective",Private Equity Round,4600000,nan
769,22-06-2017,Kissht,Consumer Internet,Consumer Lending platform,Mumbai,"Endiya Partners, Ventureast",Private Equity Round,2000000,nan
770,22-06-2017,Explore Life traveling,Consumer Internet,Local homes booking platform,Bengaluru,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",Seed Round,500000,nan
771,23-06-2017,LoanTap,Consumer Internet,Lending platform for salaried professionals,Mumbai,"Kae Capital, India Quotient, IFMR Capital Finance, MAS Financial Services Ltd",Private Equity Round,4000000,nan
772,23-06-2017,VoxWeb,Consumer Internet,Mobile based social networking platform,Mumbai,Group of investors (undisclosed),Seed Round,1000000,nan
773,26-06-2017,HUG Innovations,Technology,Gesture based Smartwatch manufacturer,Hyderabad,"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon",Private Equity Round,5000000,nan
774,26-06-2017,Flipkart,E-Commerce,Online marketplace,Bengaluru,Naspers,Private Equity Round,71000000,nan
775,26-06-2017,V Resorts,Consumer Internet,Holiday & Vacation resort aggregator,Noida,"Seedfund, RB International",Private Equity Round,4000000,nan
776,27-06-2017,Stashfin,Consumer Internet,Personal Finance App,New Delhi,"Snow Leopard Ventures, Alto Partners",Private Equity Round,5000000,nan
777,27-06-2017,Formcept,Consumer Internet,Unified Data Analysis platform,Bengaluru,Gujarat Venture Finance Limited (GVFL),Private Equity Round,,nan
778,27-06-2017,Spareshub,E-Commerce,Automobile parts marketplace,Pune,"The Chennai Angels, Anthill Ventures, Esvee Technologies Inc, Inc95 Consulting",Seed Round,311000,nan
779,28-06-2017,Fitraq,Consumer Internet,Fitness Centre Discovery Platform,New Delhi,"Aparup Sengupta, Devendra Reddy",Seed Round,,nan
780,28-06-2017,Rubique,Consumer Internet,Online Marketplace for financial products,Mumbai,"Kalaari Capital, Udayan Goyal",Private Equity Round,3000000,nan
781,28-06-2017,Niki.ai,Consumer Internet,AI Based Personal Assistant,Bengaluru,"SAP.iO, Unilazer Ventures",Private Equity Round,2000000,nan
782,29-06-2017,Fitpass,Consumer Internet,Online Fitness Marketplace,New Delhi,"Abhinav Bindra, Gaurav Marya",Private Equity Round,1000000,nan
783,29-06-2017,ZingHR,Technology,digital employee solutions,Mumbai,Zeta,Private Equity Round,,nan
784,30-06-2017,Tagos Design,Technology,in-video discovery platform,Bengaluru,Group of investors (undisclosed),Private Equity Round,5000000,nan
785,30-06-2017,UrbanClap,Consumer Services,Mobile Services Marketplace,Gurgaon,"Vy Capital, SAIF Partners, Accel, Bessemer Venture Partners",Private Equity Round,21000000,nan
786,01-05-2017,Ace2three,Consumer Internet,Online Rummy playing Website,Hyderabad,Clairvest Group,Private Equity Round,73700000,nan
787,01-05-2017,Power2SME,E-Commerce,Buying portal for SMEs,Gurgaon,International Finance Corporation (IFC),Private Equity Round,10000000,nan
788,02-05-2017,Innovapptive,Technology,Enterprise Mobility Solutions,Hyderabad,Hyderabad Angels,Seed Round,1500000,nan
789,02-05-2017,4tigo,Logistics,Truck Network company,Bengaluru,"Accel, Nandan Nilekani",Private Equity Round,10000000,nan
790,02-05-2017,SMECorner,Consumer Internet,Online Platform for small business loans,Mumbai,Dutch government fund,Private Equity Round,,nan
791,02-05-2017,zippserve,Consumer Internet,Real estate risk assessment platform,Bengaluru,Group of investors (undisclosed),Seed Round,390000,nan
792,03-05-2017,Ola Cabs,Transportation,Cab Aggregation App,Bengaluru,"Falcon Edge Capital, Capital Advisers",Private Equity Round,104500000,nan
793,03-05-2017,Sumeru,Technology,Software & Mobile development services,Bengaluru,Group of investors (undisclosed),Seed Round,1000000,nan
794,04-05-2017,Healthians,Health and Wellness,Online Diagnostics and wellness platform,New Delhi,"Asuka Holdings, YouWeCan Ventures, BEENEXT, Beenos, M&S Partners",Private Equity Round,,nan
795,05-05-2017,HealthMir,Consumer Internet,AI-based health content platform,New Delhi,Nimit Panigrahi,Seed Round,,nan
796,05-05-2017,Uactive,Consumer Internet,Health-based social networking & discovery App,Mumbai,Hinduja Group,Seed Round,,nan
797,05-05-2017,i-lend,Consumer Internet,Peer-to-peer lending platform,Hyderabad,50K Ventures,Seed Round,,nan
798,05-05-2017,Good Methods Global,Technology,Cloud Based Practice Management Software,Trivandrum,Accel,Private Equity Round,,nan
799,05-05-2017,Balance App,Consumer Internet,Money Savings & Management App,Bengaluru,Rainmatter,Seed Round,233000,nan
800,08-05-2017,YepMe,E-Commerce,Private Label Fashion etailer,Gurgaon,"Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.",Private Equity Round,700000,nan
801,08-05-2017,NightStay,Consumer Internet,Last minute hotel booking mobile app,New Delhi,"Indian Angel Network (IAN), LetsVenture",Seed Round,,nan
802,08-05-2017,Devourin,Technology,Restaurant Automation Solution,Pune,Deepak Nathani,Seed Round,,nan
803,08-05-2017,MyGreens,Food & Beverages,Cold-press Juices manufacturer,New Delhi,"Ajay Relan, LetsVenture",Seed Round,1000000,nan
804,08-05-2017,Ace Turtle,Technology,Omni-Channel Platform,Bengaluru,"Vertex Ventures, C31 Ventures",Private Equity Round,5000000,nan
805,08-05-2017,Curefit,Technology,Health-Tech Platform,Bengaluru,"Trifecta Capital, Pratithi Investment Trust, RNT Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi",Private Equity Round,3200000,nan
806,09-05-2017,Curie Labs,Technology,Energy Analytics startup,New Delhi,Satoshi Studios,Seed Round,50000,nan
807,09-05-2017,Uncanny Vision,Technology,Computer Vision on Embedded Systems,Bengaluru,Anand Chandrasekaran,Seed Round,,nan
808,09-05-2017,Anchanto,E-Commerce,E-Commerce Fulfilment and Technology Platform,Pune,Luxasia Group,Private Equity Round,,nan
809,09-05-2017,Sequretek,Technology,IT Security & Data Management Services,Mumbai,"Gujarat Venture Finance Limited (GVFL), Unicorn India Ventures",Private Equity Round,,nan
810,10-05-2017,Lucideus,Technology,Cyber Security Startup,New Delhi,"Vellayan Subbiah, Jonathan Boutelle, Rajan Anandan, Rahul Chawla, Salil Donde, Amit Ranjan, Govind Rajan",Seed Round,,nan
811,10-05-2017,Vidooly,Consumer Internet,Video Intelligence platform,Noida,"Times Internet, Gujarat Venture Finance Limited (GVFL)",Private Equity Round,1400000,nan
812,10-05-2017,ShopClues,E-Commerce,Online marketplace,Gurgaon,InnoVen Capital India,Private Equity Round,7700000,nan
813,10-05-2017,Fourth Ambit,Consumer Internet,Community Building platform,Bengaluru,1Crowd,Seed Round,600000,nan
814,10-05-2017,Chymera VR,Technology,Advertising Platform for Virtual Reality,Bengaluru,"Varsha Rao, Surojit Chatterjee, Nirav Choksi",Seed Round,,nan
815,11-05-2017,EarlySalary,Consumer Internet,Online lending platform,Pune,"DG Ventures India, Dewan Housing Finance Corp",Private Equity Round,4000000,nan
816,11-05-2017,Book My Diamond,E-Commerce,Diamond B2B eTailer,Mumbai,Chirag Nikunj Sheth,Seed Round,,nan
817,11-05-2017,ION Energy,Technology,Clean Tech Startup,Mumbai,"Aakrit Vaish, Swapan Rajdev, Sushill Jiwarajka",Seed Round,,nan
818,12-05-2017,LegalRaasta,Consumer Internet,Legal Services to SMEs & Individuals,New Delhi,Impanix Capital,Private Equity Round,5000000,nan
819,12-05-2017,Log 9 Materials,Technology,NanoTech product developer,Bengaluru,GEMs,Seed Round,,nan
820,12-05-2017,Remit Guru,Consumer Internet,Digital money transfer platform,Mumbai,"Infibeam, CCAvenue",Private Equity Round,466000,nan
821,12-05-2017,Aequm,E-Commerce,Cloud E-Commerce platform,Bengaluru,Group of investors (undisclosed),Seed Round,1000000,nan
822,15-05-2017,Zapty,Technology,Project Management tool,Bengaluru,Ideaspring Capital,Seed Round,500000,nan
823,15-05-2017,Vernacular.ai,Technology,Multi-lingual AI Platform for Businesses,Bengaluru,Kstart Capital,Seed Round,,nan
824,16-05-2017,Niki.ai,Technology,AI-based chatbot,Bengaluru,SAP,Private Equity Round,,nan
825,16-05-2017,Telr,Technology,Online Payment Gateway,Mumbai,Innovations East,Private Equity Round,3000000,nan
826,16-05-2017,Fynd,E-Commerce,Fashion E-Commerce Portal,Mumbai,Rocketship,Private Equity Round,500000,nan
827,17-05-2017,Genie,Consumer Internet,hyperlocal delivery and logistics mobile app,Chennai,Group of investors (undisclosed),Seed Round,250000,nan
828,17-05-2017,PaySense,Consumer Internet,Online Lending platform,Mumbai,Jungle Ventures,Private Equity Round,5300000,nan
829,18-05-2017,The Good Life,E-Commerce,Online Luxury Tea etailer,Mumbai,"Ayesha Takia Azmi, Abu Farhan Azmi",Seed Round,1000000,nan
830,18-05-2017,PumpKart,E-Commerce,Online Water Pumps etailer,Chandigarh,Dr. Ritesh Malik,Seed Round,,nan
831,18-05-2017,Paytm,FinTech,Mobile Wallet & E-Commerce platform,Bengaluru,SoftBank Group,Private Equity Round,1400000000,nan
832,19-05-2017,EzCred,Consumer Internet,Consumer Lending Platform,Bengaluru,"Dheeraj Pandey, Rajesh Yohannan Akash Garg",Seed Round,1000000,nan
833,19-05-2017,HealthSutra,Food & Beverages,Health Food Maker,Hyderabad,"Ankur Capital, Hyderabad Angels",Seed Round,,nan
834,20-05-2017,YepMe,E-Commerce,Private Fashion Brand etailer,New Delhi,Gokaldas Exports Ltd,Private Equity Round,,nan
835,22-05-2017,Delhivery,Logistics,E-Commerce Logistics provider,New Delhi,Fosun International,Private Equity Round,30000000,nan
836,22-05-2017,Zipgrid,Consumer Internet,Cashless & paperless solutions for Housing societies,Mumbai,"JLL, 1Crowd",Seed Round,500000,nan
837,23-05-2017,TravelSpice,E-Commerce,Travel E-Commerce portal,Hyderabad,Eagle10 Ventures,Seed Round,,nan
838,23-05-2017,Magicpin,Consumer Internet,Hyperlocal discovery platform,Gurgaon,"Lightspeed Venture Partners India, Vy Capital",Private Equity Round,6600000,nan
839,23-05-2017,The Print,Consumer Internet,News Portal,New Delhi,"Ratan Tata, Nandan Nilekani, Uday Kotak, Vijay Shekhar Sharma, Kiran Mazumdar-Shaw, Rajiv C Mody",Seed Round,,nan
840,23-05-2017,Box8,Consumer Internet,Food Delivery Platform,Mumbai,Trifecta Capital,Private Equity Round,1000000,nan
841,24-05-2017,GenNext Students,Consumer Internet,Online Tutoring Services,Mumbai,Group of investors (undisclosed),Seed Round,580000,nan
842,25-05-2017,Aye Finance,Finance,Non-Banking Financial Company,Gurgaon,BlueOrchard,Private Equity Round,8000000,nan
843,26-05-2017,WhatsLoan,Consumer Internet,Online Lending mobile app,Bengaluru,Lahiri Music's family office,Seed Round,,nan
844,29-05-2017,Cube Consumer Services,Consumer Internet,Finance management Mobile app,Mumbai,N/A,Seed Round,,nan
845,29-05-2017,Nivesh,Consumer Internet,Online MF investment platform,Noida,"PV Sahad, Sandeep Shroff, Rahul Gupta",Seed Round,,nan
846,29-05-2017,Wowflux,Technology,image Processing solution,New Delhi,Group of investors (undisclosed),Seed Round,,nan
847,29-05-2017,Collateral Medical,E-Commerce,Online Medical equipment supplier,Mumbai,Carpediem Capital,Private Equity Round,3500000,nan
848,30-05-2017,Loadshare,Logistics,Express Logistics Network,Bengaluru,Matrix Partners India,Seed Round,,nan
849,30-05-2017,SimpliLend,Consumer Internet,Online lending platform,New Delhi,Group of investors (undisclosed),Seed Round,,nan
850,30-05-2017,Supr Daily,Consumer Internet,Subscription based delivery platform,Mumbai,"Soma Capital, Great Oaks Ventures, 122 West Ventures",Private Equity Round,1500000,nan
851,30-05-2017,Swiggy,On-demand delivery platform,Online food delivery platform,Bengaluru,"Naspers, Accel, SAIF Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners",Private Equity Round,80000000,nan
852,31-05-2017,SastaSundar,E-Commerce,Online Pharmacy,Kolkata,Rohto Pharmaceutical,Private Equity Round,5000000,nan
853,31-05-2017,Magicpin,Consumer Internet,Hyperlocal Discovery & Rewards platform,Gurgaon,"Lightspeed Venture Partners India, Waterbridge Ventures",Private Equity Round,7000000,nan
854,01-04-2017,Cashe,Consumer Internet,Online & Mobile based Lending platform,Mumbai,"Mathew Cyriac, Florintree Advisors",Private Equity Round,3800000,nan
855,03-04-2017,Eruditus,Education Marketplace,Executive Education Provider,Mumbai,Bertelsmann India Investments,Private Equity Round,8200000,nan
856,03-04-2017,Testbook,Consumer Internet,Online Test Preparation Platform,Mumbai,Matrix Partners India,Private Equity Round,,nan
857,03-04-2017,Healthcare at Home,Healthcare,Home Healthcare Provider,Noida,Quadria Capital Advisors,Private Equity Round,40000000,nan
858,03-04-2017,Tyre Express,Technology,Enterprise IoT solutions For Tyre Performance,Mumbai,Rohitash Gupta,Seed Round,,nan
859,03-04-2017,SmartCoin,Consumer Internet,Micro Lending platform,Bengaluru,Unicorn India Ventures,Private Equity Round,,nan
860,04-04-2017,WayCool,Food & Beverages,Fresh-Produce Distribution Platform,Chennai,Aspada Investment,Private Equity Round,2700000,nan
861,04-04-2017,Perfios,Technology,Financial Tech Solutions,Bengaluru,Bessemer Venture Partners,Private Equity Round,6100000,nan
862,04-04-2017,Whatfix,Technology,Interactive Tech-Support Guides,Bengaluru,"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver",Private Equity Round,3690000,nan
863,04-04-2017,ElasticRun,Technology,App based Logistics & Distribution platform,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity Round,7000000,nan
864,04-04-2017,Trukky,Consumer Internet,Online Truck Aggregator & Booking platform,Ahmedabad,"Keyur Joshi, Pavan Bakeri",Seed Round,500000,nan
865,04-04-2017,Konsult App,Consumer Internet,App based Doctor Consulting platform,New Delhi,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch",Seed Round,500000,nan
866,05-04-2017,Credit Sudhaar,Consumer Internet,Credit Score Improvement platform,Mumbai,"Deepak Kulkarni, Sandeep Pangal",Seed Round,,nan
867,05-04-2017,Fingerlix,Consumer Internet,Food Delivery Platform,Mumbai,Zephyr Peacock India,Private Equity Round,3000000,nan
868,05-04-2017,DataWeave,Technology,Business Intelligence Solutions,Bengaluru,"FreakOut Group, Blume Ventures, Herb Madan, Waterbridge Ventures",Private Equity Round,,nan
869,06-04-2017,Medwell Ventures,Healthcare,Home-Based Healthcare provider,Bengaluru,"Mahindra Partners, Eight Roads Ventures India, F-Prime Capital Partners",Private Equity Round,21000000,nan
870,06-04-2017,Mech Mocha,Consumer Internet,Mobile gaming startup,Bengaluru,"Accel, Shunwei Capital",Private Equity Round,5000000,nan
871,07-04-2017,Startup Buddy,Consumer Internet,Startup Support Platform,Gurgaon,YouWeCan Ventures,Seed Round,,nan
872,07-04-2017,QorQI,Healthcare,Online Healthcare provider,Noida,Paytm,Seed Round,,nan
873,07-04-2017,Twenty Two Motors,Technology,Smart Scooter manufacturer,Gurgaon,"Ishwar Singh,Farhaan Shabbir",Seed Round,,nan
874,07-04-2017,PharmEasy,E-Commerce,Online Pharmacy,Mumbai,"Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital",Private Equity Round,18000000,nan
875,08-04-2017,WonderChef,E-Commerce,Online marketplace for kitchen products,Mumbai,Labruyere Eberl,Private Equity Round,,nan
876,08-04-2017,FastFox,Consumer Internet,Online rental discovery platform,Gurgaon,"Lightspeed Venture Partners India, Blume Ventures, CyberAgent Ventures, GrowX Ventures, IMJ Investment Partners",Private Equity Round,4600000,nan
877,10-04-2017,Omnify,Technology,SaaS platform for SMEs,Bengaluru,"Rajan Anandan, L.D Sharma, Saurabh Arora",Seed Round,150000,nan
878,10-04-2017,Capital Float,Consumer Internet,Online Lending Platform for SME,Bengaluru,Mahindra & Mahindra,Private Equity Round,2300000,nan
879,11-04-2017,Ninjacart,Logistics Services Provider,B2B agri-marketing platform,Bengaluru,"Accel, Nandan Nilekani's NRJN Trust, Mistletoe, Qualcomm Ventures, M&S Partners",Private Equity Round,5500000,nan
880,11-04-2017,MergerWare,Technology,Software solutions for M&As,Bengaluru,Philippe Bouchet,Seed Round,100000,nan
881,11-04-2017,Sports Flashes,Consumer Internet,Online Sports portal & Mobile app,New Delhi,"Sushil Kumar, Sandeep Singh",Seed Round,,nan
882,12-04-2017,Clovia,E-Commerce,Online lingerie & Sleepwear etailer,New Delhi,"Ivycap Ventures Advisors, Singularity Ventures , Ravi Dhariwal",Private Equity Round,4000000,nan
883,12-04-2017,Emiza,Logistics,Third Party Logistics provider,Mumbai,"Mayfield India II Management Ltd, Nishant Rao, Dileep Nath",Private Equity Round,4500000,nan
884,12-04-2017,HackerEarth,Consumer Internet,Online Skill Assessment Platform,Bengaluru,"DHI Group Inc, Prime Venture Partners, BEENEXT, Beenos, Digital Garage, BizReach",Private Equity Round,4500000,nan
885,12-04-2017,SquadRun,Technology,Software-As-a-Service Platform,Noida,"Blume Ventures, Contrarian Capital India Partners, 91springboard, Emergent Ventures India, Abstract Ventures, Anthill Ventures, Axilor Partners",Private Equity Round,2100000,nan
886,12-04-2017,Tinmen,Consumer Internet,Food Delivery Platform,Hyderabad,"MAPE Advisory Group, R Ramaraj, Corvus Ventures",Seed Round,,nan
887,12-04-2017,ScoutMyTrip,Consumer Internet,Online Travel planner,Mumbai,Z Nation Lab,Seed Round,,nan
888,13-04-2017,SafetyKart,E-Commerce,Safety & Hygiene Products etailer,Gurgaon,Redcliffe Capital,Private Equity Round,,nan
889,13-04-2017,WeAreHolidays,Consumer Internet,Travel Packages & Planner marketplace,Gurgaon,Urrshila Kerkar,Private Equity Round,7700000,nan
890,14-04-2017,Ola Cabs,Transportation,Cab Aggregator App,Bengaluru,SIMI Pacific Pte,Private Equity Round,260000000,nan
891,15-04-2017,Myly,Consumer Internet,Mobile App for Schools,Jaipur,SIDBI Venture Capital,Seed Round,310000,nan
892,17-04-2017,Credihealth,Consumer Internet,Online Medical Assistance platform,Gurgaon,"Tolaram Inc, Mountain Pine Capital",Private Equity Round,1500000,nan
893,17-04-2017,Navia Life Care,Technology,Health Technology platform,New Delhi,Benori Ventures LLP,Seed Round,,nan
894,17-04-2017,Raw Pressery,Food & Beverages,Raw Pressed Juices manufacturer,Mumbai,Jacqueline Fernandez,Seed Round,,nan
895,17-04-2017,Snackible,Food & Beverages,Healthy Snacks manufacturer,Mumbai,"Nibhrant Shah, Anandbir Singh, Anirudh Sheth, Pratik Singhi, Vikram Mehta, Murali Nair",Seed Round,175000,nan
896,17-04-2017,Be U Salons,Consumer Internet,Online Salon discovery & Booking Services,New Delhi,"Gaurav Kachru, Sundeep Singh Sahni, Jatin Aneja, Arun Malhotra",Seed Round,620000,nan
897,17-04-2017,Simulanis,Consumer Internet,eLearning & Skills Development plat,New Delhi,Village Capital,Seed Round,,nan
898,17-04-2017,Lendingkart,Consumer Internet,Lending platform for small businesses,Ahmedabad,Anicut Capital,Private Equity Round,4650000,nan
899,18-04-2017,Innefu Security Consulting,Technology,Cyber Security solutions using AI,New Delhi,IndiaNivesh Venture Capital Fund,Private Equity Round,2000000,nan
900,18-04-2017,Whodat,Technology,Markerless AR platform,Bengaluru,Ideaspring Capital,Private Equity Round,600000,nan
901,18-04-2017,Absentia VR,Technology,Virtual Reality Startup,Bengaluru,Exfinity Venture Partners,Private Equity Round,1250000,nan
902,19-04-2017,IOTrek,Technology,IoT Platform for Bus,New Delhi,Group of investors (undisclosed),Seed Round,155000,nan
903,20-04-2017,Holachef,Consumer Internet,Online Food Delivery,Mumbai,"SIDBI Venture Capital, Kalaari Capital",Private Equity Round,3000000,nan
904,20-04-2017,Wooplr,E-Commerce,Social Commerce Fashion platform,Bengaluru,Ankit Nagori,Private Equity Round,,nan
905,21-04-2017,Video Ken,Consumer Internet,Video Based Collaborative Learning,Bengaluru,"Ravi Garikipati, Surot Chatterjee, Ashish Agrawal, LG Chandrasekhar, Sashi Reddy",Seed Round,1000000,nan
906,24-04-2017,Faaso's,Food & Beverages,QSR chain and online food delivery,Pune,"Lightbox, Sequoia India, RuNet South Asia, RB Investments",Private Equity Round,6300000,nan
907,24-04-2017,Oyo,Hospitality,Branded Budget Hotels Aggregator,Gurgaon,"SoftBank Vision Fund, Lightspeed Venture Partners India, Sequoia India, Greenoaks Capital",Private Equity Round,250000000,nan
908,24-04-2017,Toppr,Consumer Internet,Learning mobile app for students,Mumbai,WGG International,Private Equity Round,3200000,nan
909,24-04-2017,Niramai,Healthcare,Breast Cancer Screening Solutions,Bengaluru,"pi Ventures, Axilor Partners, 500 Startups, Binny Bansal",Seed Round,,nan
910,25-04-2017,The Office Pass,Consumer Internet,CoWorking Spaces booking platform,Gurgaon,"Arun Tadanki, Aditya Verma",Seed Round,245000,nan
911,25-04-2017,UrbanClap,Consumer Services,Mobile Services Marketplace,Gurgaon,Trifecta Capital,Private Equity Round,3100000,nan
912,26-04-2017,Awfis,Consumer Internet,Collaborative co-Working Spaces,Mumbai,Sequoia India,Private Equity Round,20000000,nan
913,26-04-2017,Myra,Consumer Internet,Online Pharmacy,Bengaluru,"Times Internet,Matrix Partners India",Private Equity Round,,nan
914,26-04-2017,Flytxt,Technology,Customer data analytics software,Mumbai,DAH Beteiligungs GmbH,Private Equity Round,11000000,nan
915,26-04-2017,Howdy Ventures,Consumer Internet,Public and Private Events creation app,Chennai,S. Xavier Britto,Seed Round,1500000,nan
916,26-04-2017,StalkBuyLove,E-Commerce,Online fashion marketplace,New Delhi,Trifecta Capital,Private Equity Round,1000000,nan
917,26-04-2017,ZipGo,Consumer Internet,Bus Pooling services platform,Bengaluru,"Orios Venture Partners, Team Builder Ventures, Omidyar Networks",Private Equity Round,,nan
918,27-04-2017,Scootsy,Consumer Internet,On-Demand Food Delivery,Mumbai,"Agnus Capital, Khattar Holdings",Private Equity Round,3600000,nan
919,27-04-2017,Autobix,Technology,Software Solutions for Auto Dealership,Pune,GardX International,Seed Round,,nan
920,27-04-2017,eShiksha,Technology,Education Institution Management Solutions,Jaipur,Cross Border Angels & Experts,Seed Round,,nan
921,27-04-2017,iNurture,Consumer Internet,Online Educational courses,Bengaluru,BlackSoil Capital Pvt. Ltd.,Private Equity Round,1500000,nan
922,28-04-2017,Sepalika,Consumer Internet,Healthcare related content platform,New Delhi,Accel,Seed Round,750000,nan
923,28-04-2017,Mintwalk,Consumer Internet,Financial advisory mobile app,Mumbai,Poshika Financial Ecosystem,Seed Round,,nan
924,29-04-2017,Qriyo,Consumer Internet,Tutor Discovery & Booking platform,Jaipur,NB Ventures,Private Equity Round,,nan
925,01-03-2017,Ola Cabs,Transportation,App based cab aggregator,Bengaluru,SoftBank Group,Private Equity Round,330000000,nan
926,01-03-2017,Belong,Consumer Internet,Online Jon Portal,Bengaluru,Sequoia India,Private Equity Round,10000000,nan
927,01-03-2017,Seenit,Consumer Internet,AI based Fashion Search Portal,Kolkata,"Calcutta Angels Network, Augment Ventures",Seed Round,,nan
928,01-03-2017,Paalak,E-Commerce,Fresh Produce Selling portal,New Delhi,"Vishwadeep Bajaj, Harsh Kundra, Nandkumar Rane, LN Buddharaju, Anupam Tyagi",Seed Round,,nan
929,02-03-2017,Celes Care,Consumer Internet,Women Healthcare & Information portal,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures India, F-Prime Capital Partners",Private Equity Round,1500000,nan
930,02-03-2017,Karomi,Technology,Packaging Artwork Management software,Chennai,Ideaspring Capital,Seed Round,500000,nan
931,02-03-2017,Red Carpet,Consumer Internet,Micro Lending platform,Gurgaon,Lightspeed Venture Partners India,Private Equity Round,2500000,nan
932,02-03-2017,Kreate Konnect,Technology,End-to-End Seller e-commerce solutions Provider,Vadodara,Langoor,Seed Round,,nan
933,02-03-2017,CreditMantri,Consumer Internet,Online Credit score & lending platform,Chennai,Quona Capital,Private Equity Round,7600000,nan
934,03-03-2017,Lets Endorse,Consumer Internet,Online Ecosystem of social innovators,Bengaluru,"Chandigarh Angels Network (CAN), Social Alpha",Seed Round,,nan
935,03-03-2017,Tydy,Technology,Employee Onboarding and Engagement platform,Bengaluru,"Bhupen Shah, Jayesh Parekh, Sanjay Sathe",Seed Round,275000,nan
936,03-03-2017,Nactus,Consumer Internet,Professional Tutors discovery & booking mobile app,Jaipur,"Sandeep Aggarwal, Gautam Chhaochharia, R Balachandar",Seed Round,,nan
937,03-03-2017,Oho Shop,Technology,E-Commerce Mobile App Builder,Ahmedabad,Bennett Coleman & Co. Ltd,Private Equity Round,6700000,nan
938,03-03-2017,Emojifi,Consumer Internet,Mobile App for live emoji,Hyderabad,Group of Angel investors (undisclosed),Seed Round,,nan
939,03-03-2017,Paytm Marketplace,E-Commerce,E-Commerce Marketplace,Bengaluru,Alibaba Group,Private Equity Round,200000000,nan
940,04-03-2017,iGenetics,Healthcare,Health Diagnostic Solutions,Mumbai,CDC Group,Private Equity Round,19500000,nan
941,06-03-2017,Juno Clinic,Consumer Internet,Online Counseling Platform,Mumbai,Atul Nishar,Seed Round,1200000,nan
942,06-03-2017,Summerlabel,Consumer Internet,Fashion and Lifestyle discovery platform,Gurgaon,"Aneesh Seth, Tushar Mittal",Seed Round,150000,nan
943,06-03-2017,PickMe,Consumer Internet,Gadget Insurance & Repair Services platform,Mumbai,SIDBI Venture Capital,Private Equity Round,1790000,nan
944,07-03-2017,Agrostar,Technology,Direct-to-Farmer Mobile-Based Retail platform,Pune,Accel,Private Equity Round,10000000,nan
945,07-03-2017,Zapr,Technology,DSP & TV Analytics & Cross-Platform advertising,Bengaluru,Star India Pvt. Ltd,Private Equity Round,10000000,nan
946,07-03-2017,Data Resolve,Technology,Cyber Security Solutions,Noida,IDFC-Parampara Fund,Private Equity Round,1000000,nan
947,07-03-2017,Book Servicing,Consumer Internet,Online Vehicle Services Booking platform,New Delhi,National Science and Technology Entrepreneurship Development Board,Seed Round,30000,nan
948,07-03-2017,Blowhorn,Consumer Internet,Intra-City Logistics provider,Bengaluru,"IDG Ventures India, Michael & Susan Dell Foundation, Draper Associates, Unitus Seed Fund",Private Equity Round,3650000,nan
949,08-03-2017,Rivigo,Logistics Services Provider,Technology Enabled Logistics Company,Gurgaon,Private Sector Banks (Debt Funding),Private Equity Round,15000000,nan
950,08-03-2017,PipeCandy,Technology,Intelligent Sales Prospecting Platform,Chennai,"IDG Ventures India, Axilor Partners, Emergent Ventures India, Indian Angel Network (IAN)",Seed Round,1100000,nan
951,08-03-2017,Supr Daily,Consumer Internet,Subscription based Home Delivery Platform,Mumbai,Y Combinator,Seed Round,120000,nan
952,08-03-2017,Parentune,Consumer Internet,Online Community for Parents,Gurgaon,"Kae Capital, SEGNEL Ventures",Private Equity Round,,nan
953,09-03-2017,AppBrowzer,Consumer Internet,Instant Mobile Apps Store,Bengaluru,Deepak Gurnani,Seed Round,500000,nan
954,09-03-2017,MagicBricks,Consumer Internet,Online Real Estate Portal,Mumbai,Times Internet,Private Equity Round,4500000,nan
955,10-03-2017,PeeBuddy,Healthcare,Female Hygiene product manufacturer,New Delhi,Indian Angel Network (IAN),Seed Round,443000,nan
956,10-03-2017,iOrderFresh,E-Commerce,Online fresh fruits and grocery store,New Delhi,Singapore Angel Network,Seed Round,,nan
957,10-03-2017,Lavelle Networks,Technology,SDN Solutions,Bengaluru,Ideaspring Capital,Seed Round,600000,nan
958,10-03-2017,PropertyShare,Consumer Internet,Fractional Proerty Ownership & Rental platform,Bengaluru,"Asuka Holdings, Pravega Ventures, BEENEXT",Seed Round,,nan
959,14-03-2017,MyDermacy,Consumer Internet,Online Dermatology consultation platform,New Delhi,Cyber Carrier,Private Equity Round,,nan
