<<<<<<< HEAD
"startup_name","funds_per_startup"
"Intelligence Node",5000000
"Jaypore",5000000
"Kinara Capital",5000000
"Liases Foras",5000000
"LocalOye",5000000
"Melorra",5000000
"Mystifly",5000000
"Parcelled",5000000
"Pokkt",5000000
"Progcap",5000000
"Samunnati Financial Intermediation & Services Pvt. Ltd",5000000
"SastaSundar",5000000
"Securens",5000000
"Shop 101",5000000
"Shotang.com",5000000
"Stashfin",5000000
"Stasis Labs",5000000
"Tagos Design",5000000
"Upwards",5000000
"Vyapar App",5000000
"Vymo",5000000
"YAAP",5000000
"Zolo",5000000
"Network Intelligence",4800000
"Capricoast",4750000
"FastFox",4600000
"Fisdom",4600000
"Whatfix",4590000
"Easy Diner",4500000
"Emiza",4500000
"FPL Technologies",4500000
"Grow Fit",4500000
"HackerEarth",4500000
"iCustomMadeIt",4500000
"Iqlect",4500000
"MagicBricks",4500000
"Printvenue",4500000
"Get My Parking",4476000
"Care24",4350000
"InnerChef",4250000
"MoEngage",4250000
"KOOH Sports",4200000
"mfine",4200000
"UE LifeSciences",4200000
"InShorts",4150000
"Roambee",4100000
"Altizone",4000000
"Anchanto",4000000
"Buildzar",4000000
"DarwinBox",4000000
"DriveU",4000000
"HipBar",4000000
"IMbesharam",4000000
"Innov8",4000000
"Inthree",4000000
"Lets Transport",4000000
"medECUBE",4000000
"Meritnation",4000000
"OptaCredit",4000000
"Pastiwala",4000000
"PlaySimple",4000000
"Reverie",4000000
"RevX",4000000
"RKSV",4000000
"RML Agtech",4000000
"ScoopWhoop",4000000
"V Resorts",4000000
"Vayana",4000000
"Foyr.com",3800000
"Cash Suvidha",3700000
"Cashkaro",3700000
"Goodbox",3700000
"Airpay",3670000
"Blowhorn",3650000
"ZipLoan",3650000
"OpenApp",3600000
"Scootsy",3600000
"Slide App",3600000
"TinyStep",3580000
"Affordplan",3500000
"BuildSupply",3500000
"Collateral Medical",3500000
"Doctor Insta",3500000
"Eat.Shop.Love",3500000
"FarEye",3500000
"Setu",3500000
"Trak N Tell",3500000
"Fynd",3400000
"Leegality",3400000
"Signzy",3400000
"Timesaverz",3400000
"Cashflo",3300000
"Quintype",3300000
"Trell",3250000
"AEON Learning",3200000
"Smartivity",3200000
"BigStylist",3150000
"Healthi",3100000
"The Label Life",3100000
"TruxApp",3100000
"Yaantra",3100000
"Zappfresh",3077000
"Autorox.co",3000000
"Bestdealfinance",3000000
"Bonhomia",3000000
"Buddy4studdy",3000000
"Chaayos",3000000
"CREO",3000000
"Cult",3000000
"DailyNinja",3000000
"Doormint",3000000
"FarmLink",3000000
"Fitternity",3000000
"Fracktal Works",3000000
"Grab.in",3000000
"Heads Up For Tails",3000000
"HeyPillow",3000000
"Inuxu",3000000
"Jigsaw Academy",3000000
"Lets Corp",3000000
"Littlemore",3000000
"My Healthcare",3000000
"MyCity4kids",3000000
"MyNoticePeriod",3000000
"Narvar",3000000
"NetLinx",3000000
"Nimble Wireless",3000000
"Omnia Information",3000000
"Oriano Solar",3000000
"Overcart.com",3000000
"Pocket Aces",3000000
"Propstack",3000000
"quizizz",3000000
"Rubique",3000000
"SchoolGuru",3000000
"Telr",3000000
"Triphobo",3000000
"TYGR",3000000
"wealthbucket.in",3000000
"Whoop",3000000
"Wudstay",3000000
"YourStory",3000000
"Yumist",3000000
"AgentDesks",2950000
"Bombay Shaving Company",2900000
"Graphic India",2800000
"Kaleidofin",2800000
"Locus",2750000
"Sistema.bio",2739034.68
"Dil Mil",2700000
"Heckyl",2700000
"WayCool",2700000
"Doxper",2650000
"Ecolibriumenergy",2600000
"Renderlogy",2600000
"Sheroes",2570000
"Agara Labs",2500000
"Atlan",2500000
"Celes Care",2500000
"Crowdfire (formerly Justunfollow)",2500000
"Disprz",2500000
"EduBridge",2500000
"Flatchat",2500000
"HealthAssure",2500000
"Kinsane Entertainment Inc",2500000
"MySUN",2500000
"Paynear",2500000
"Red Carpet",2500000
"Sambandh",2500000
"Scripbox",2500000
"Tokri",2500000
"FR8",2471000
"Pragmatix",2400000
"trueHb",2400000
"Vidooly",2400000
"Zimmber",2400000
"Mobiefit",2350000
"Finzy",2300000
"iBus Networks",2300000
"Room On Call",2300000
"Crofarm",2283000
"Fabogo",2250000
"Juggernaut",2250000
"Loan Frame",2250000
"BHIVE Workspace",2200000
"InstaSafe",2200000
"PressPlay TV",2200000
"Vahdam Teas",2150000
"HealthyBillions",2100000
"SquadRun",2100000
"Wellthy",2100000
"Aahaa Stores",2000000
"Aashiyaan",2000000
"AppDaily",2000000
"BankerBay",2000000
"Bluebirch",2000000
"CropIn",2000000
"Edureka",2000000
"enKast",2000000
"EPayLater",2000000
"FabAlley",2000000
"Fitpass",2000000
"Fourth Partner Energy",2000000
"Fresh Food Concepts",2000000
"Fxkart.com",2000000
"Gingercrush",2000000
"Godof Hospitals",2000000
"GoldFarm",2000000
"HandyTrain",2000000
"IIM Jobs",2000000
"India Gifts Portal",2000000
"Innefu Security Consulting",2000000
"MarianaIQ",2000000
"mintifi",2000000
"Niki.ai",2000000
"Pee Safe",2000000
"Plancess",2000000
"PortDesk",2000000
"Prothom",2000000
"RoomCentral",2000000
"Shopalyst",2000000
"ShopKirana",2000000
"Slice Pay",2000000
"SmartCoin",2000000
"Stanza Living",2000000
"TruckMandi",2000000
"Uniken",2000000
"UrbanPro",2000000
"Vyome Biosciences",2000000
"Weddingz.in",2000000
"WholeSaleBox",2000000
"ZapStitch",2000000
"ZuperMeal",2000000
"eKincare",1991000
"Tapzo",1930000
"Sumeru",1900000
"The Ken",1900000
"Fashor",1800000
"HeadOut",1800000
"I Can Stay",1800000
"Sahayog Dairy",1800000
"Satvacart",1800000
"PickMe",1790000
"Faircent",1750000
"Teewe",1750000
"Caravan Craft",1700000
"Elucidata",1700000
"Touchkin",1700000
"Supr Daily",1620000
"Goodservice",1600000
"MyPetrolPump",1600000
"MyTaxiIndia",1600000
"Pipa Bella",1600000
"QuikWallet",1600000
"The Wedding Brigade",1600000
"WOW! MOMO",1600000
"YourDOST",1600000
"Applicate",1550000
"Zenify.in",1540000
"White Owl Brewery",1530000
"9Stacks",1500000
"ABI Health",1500000
"Address Health",1500000
"Betaout",1500000
"Credihealth",1500000
"Fyle Technologies",1500000
"GoPigeon",1500000
"Hello Curry",1500000
"HousingMan",1500000
"Howdy Ventures",1500000
"Innovapptive",1500000
"iStar Skill Development",1500000
"Mad Street Den",1500000
"MFine",1500000
"Multiplier Solutions",1500000
"MyCFO",1500000
"Petoo",1500000
"RoomsTonite",1500000
"SaleBhai",1500000
"SchoolWear",1500000
"Sunstone Eduversity Pvt. Ltd",1500000
"Team Indus",1500000
"Toffee",1500000
"Unocoin",1500000
"Velvetcase",1500000
"Baxi",1450000
"VoxWeb",1450000
"Absentia",1430000
"Silvan Innovation Labs",1415000
"Airmed Labs",1400000
"Credy",1400000
"DailyObjects",1400000
"Ketto",1400000
"Parallel Dots",1400000
"RentSher",1400000
"Systemantics",1400000
"UrDoorStep",1400000
"Biryani By Kilo",1375000
"Zenatix",1361000
"mPaani",1350000
"Credright",1300000
"Pickingo",1300000
"SuperGaming",1300000
"Slang Labs",1240000
"Affimity",1200000
"Ampere Vehicles",1200000
"CanvasFlip",1200000
"Convegenius",1200000
"Dekkho",1200000
"Juno Clinic",1200000
"MapMyGenome",1200000
"MeraDoctor",1200000
"Momoe",1200000
"Noticeboard",1200000
"SidQam",1200000
"SilverPush",1200000
"Swajal",1200000
"Little Black Book",1150000
"3HCare",1100000
"Entropik",1100000
"Front Desk AI",1100000
"Groww",1100000
"Guiddoo",1100000
"Livehealth",1100000
"ORIGA Leasing",1100000
"PipeCandy",1100000
"Rare Media",1100000
"StanPlus",1100000
"TempoGo",1075000
"ShoppinPal",1070000
"i2iFunding",1068000
"Planys Technologies",1040000
"20Dresses",1000000
"A&R Bon Vivants",1000000
"Aadyah",1000000
"AdmitKard",1000000
"AdWyze",1000000
"Adytude",1000000
"Aequm",1000000
"Appedo",1000000
"Appie",1000000
"Baby Berry",1000000
"Billion Loans",1000000
"Bombay Shirt Company",1000000
"BroEx",1000000
"BuyHatke",1000000
"Clip App",1000000
"Co Life",1000000
"Commeasure",1000000
"CreditVidya",1000000
"CustomerSucessBox",1000000
"Data Resolve",1000000
"EduAce Services",1000000
"EduKart",1000000
"Eywa Media",1000000
"EzCred",1000000
"FlipClass",1000000
"Frsh",1000000
"Glamrs",1000000
"Goalwise",1000000
"GolfLAN",1000000
"GramCover",1000000
"Gramophone",1000000
"Grey Campus",1000000
"GreyAtom",1000000
"Happy EMI",1000000
"HashTaag",1000000
"HealthCare",1000000
"Hevo Data",1000000
"Homergize",1000000
"House of Masaba",1000000
"HyperVerge",1000000
"i3sysytems",1000000
"iGrenEnergi",1000000
"Imarticus Learning",1000000
"Inkmonk",1000000
"Instacar",1000000
"iTraveller.com",1000000
"Joy by nature",1000000
"KeepTrax",1000000
"Kulzy",1000000
"LetsMD",1000000
"Limo",1000000
"MagicX",1000000
"Mazkara",1000000
"MeetUniv",1000000
"My OmNamo",1000000
"Myelin Foundry",1000000
"MyGreens",1000000
"MyKindofJob",1000000
"NeoStencil",1000000
"NiYO Solutions",1000000
"Notion Press",1000000
"Nukkad Shops",1000000
"OrangeTwig",1000000
"Pitstop",1000000
"Pluss",1000000
"Qyk App",1000000
"RedDoorz",1000000
"ReGlobe",1000000
"Remitr",1000000
"Rubix",1000000
"S-Cube Futuretech",1000000
"SavvyMob",1000000
"SeeDoc",1000000
"Seniority",1000000
"Shipsy",1000000
"Sminq",1000000
"Spinny",1000000
"SpoonJoy",1000000
"Sqqrl",1000000
"Streamoid",1000000
"Stylecracker",1000000
"Supplified",1000000
"TableHero",1000000
"Talent Next",1000000
"Tax2Win",1000000
"Tea Trails",1000000
"The Good Life",1000000
"The Kettlery",1000000
"The Moms Co.",1000000
"Thrill App",1000000
"Tookitaki",1000000
"Town Essentials",1000000
"Trip38",1000000
"Vagupu",1000000
"Video Ken",1000000
"Voodoo",1000000
"Wandertrails",1000000
"wayForward",1000000
"WorkApps",1000000
"YourQuote",1000000
"Yumlane",1000000
"Zapyle",1000000
"Zebi (yet to launch)",1000000
"Zebpay",1000000
"Zoctr",1000000
"Zoojoo.be",1000000
"MyLoanCare",978000
"Betterplace",970000
"ShopsUp",963000
"Earth Food",949000
"Cashify",935089
"Luxuryhues",900000
"Toko Innovation Studios",900000
"FlickBay",890000
"NoPaperForms",872000
"Saahas Zero Waste",868600
"Click2Clinic",850000
"DropKaffe",850000
"Khel Now",850000
"QwikSpec",840000
"Graphene",825000
"Bluegape",800000
"Curiositi",800000
"HealthEnablr",800000
"Springleap",800000
"Twigly",800000
"Virtual Logic",800000
"Sunday Realty Solutions",785000
"Heterogenous",780000
"Medinfi",780000
"Vista Rooms",776000
"Avishkaar Box",772500
"Spareshub",771000
"OnlineTyari",770000
"Actofit",750000
"Arya.ai",750000
"CityFlo",750000
"Cygnus Hospitals",750000
"happay",750000
"Impact Analytics",750000
"Justdakhila.com",750000
"LoveCycles",750000
"Milofy",750000
"Sensara",750000
"Sepalika",750000
"Shirsa Labs",750000
"PharmaRack",745000
"Trukky",745000
"Happily Unmarried",740000
"Cashkumar",735000
"Edyoo",735000
"Cerebroz",734000
"Skillenza",722000
"DocPlexus",700000
"HipCouch",700000
"Idea Bubbles",700000
"Manch",700000
"Playment",700000
"Trupay",700000
"Zipgrid",700000
"ONN Bikes",692000
"Footprints Education",685000
"Appknox",675000
"TopRankers",670000
"Grex.in",650000
"numberz.in",650000
"perpule",650000
"Seed Schools",650000
"Wishberry",650000
"Yellowdig",650000
"Zuppler",650000
"Carl's Jr",630000
"HandyHome",630000
"Nudgespot",625000
"Be U Salons",620000
"Wheelstreet",620000
"MyDreamStore",615000
"Bueno",600000
"Delight Foods",600000
"DrivoJoy",600000
"EureQa",600000
"Flatpebble",600000
"Fourth Ambit",600000
"Frankly",600000
"GrowFitter",600000
"Infinity Assurance",600000
"Infisecure",600000
"Lavelle Networks",600000
"MoMark",600000
"NanoClean Global",600000
"Nest Education",600000
"Playablo",600000
"Unnati Helpers",600000
"Whodat",600000
"YouthKiAwaaz",600000
"Diro Labs",597000
"Stitchwood",595000
"Truckola",595000
"Wiwigo",595000
"GenNext",580000
"Career Anna",572000
"Prest Loans",570000
"MyDidi",550000
"Proviera",550000
"SpotDraft",550000
"Superhero Brands",540000
"Vebbler",540000
"The Print",535000
"BiBox",530000
"TaxSutra",526000
"Orahi",520000
"Prozo",520000
"Frsh.co.in",518000
"48East",500000
"5th Vital",500000
"Agricxlab",500000
"Alternacare",500000
"AppBrowzer",500000
"Appvigil",500000
"AppVirality",500000
"Arth DesignBuild",500000
"Artoo",500000
"Beardo",500000
"BiteClub",500000
"Boxx.ai",500000
"Buddy",500000
"Bumper",500000
"Burger Singh",500000
"Carcrew.in",500000
"CheersOye!",500000
"CleanseCar",500000
"CouponRaja",500000
"CreditMate",500000
"Cuberoot",500000
"Daalchini Technologies",500000
"DailyRounds",500000
"Deyor Camps",500000
"Deyor Rooms",500000
"EasyRewardz",500000
"ePoise",500000
"etaout",500000
"EveningFlavors",500000
"Explore Life traveling",500000
"FixNix",500000
"Flexing It",500000
"FoodTalkIndia",500000
"FYRE",500000
"gear6",500000
"Guarented",500000
"Hoopy",500000
"i2e1",500000
"icanstay",500000
"Imaginate",500000
"ImpactGuru",500000
"Indee",500000
"Indiez",500000
"Joolz",500000
"JustLikeNew",500000
"Kalpnik Technologies",500000
"Karma Healthcare",500000
"Karomi",500000
"Klip.in",500000
"Konsult App",500000
"kWatt Solutions",500000
"LazyLad",500000
"LenDenClub",500000
"ListUp",500000
"Lo! Foods",500000
"Mobicycle",500000
"Mobile Premier League",500000
"MrNeeds",500000
"N.O.W",500000
"NightStay",500000
"ParaBlu",500000
"Paytunes",500000
"PiQube",500000
"Plix",500000
"PropheSee",500000
"Pulse",500000
"Reach",500000
"Retention.ai",500000
"Scapic",500000
"SenseGiz",500000
"Shippr",500000
"Shouut",500000
"SmartVizX",500000
"TaxiVaxi",500000
"The BlueBook",500000
"TheCapitalNet",500000
"Uber Dreams",500000
"Venture Catalysts",500000
"Veqta",500000
"Vidgyor",500000
"Vola",500000
"Wigzo",500000
"WorkIndia",500000
"WoWexpress",500000
"Zapty",500000
"ZenParent",500000
"Zepo",500000
"Explara",490000
"Misters",486000
"mChamp",475000
"Cooey",470000
"Hopping Chef",470000
"Remit Guru",466000
"Flickstree",464000
"Fourseven",455000
"Nurturey",455000
"Augrav",450000
"DriversCart",450000
"Giftxoxo",450000
"ICHR",450000
"Inner Hour",450000
"Logic Roots",450000
"Nivesh",450000
"Oneway.cab",450000
"Oorjan",450000
"OpenTap",450000
"Poshtic",450000
"RoboVac",450000
"Wittyparot",450000
"XSTOK",450000
"ZopHop",450000
"Purple Style Labs",448000
"SillyMonks",448000
"CollegeDunia",445000
"Mojarto",445000
"PeeBuddy",443000
"Ketchupp",441000
"iServefinancial",440000
"Math Buddy",440000
"WealthApp",440000
"zippserv",440000
"Avenue Growth",437000
"Log 9 Materials",436000
"Kabadiwala",430665
"Bolo App",430200
"Gapoon",430000
"Flixy Games",425000
"Myly",410000
"WedmeGood.com",410000
"Advantage Club",400000
"AlmaMapper",400000
"AppilyEver",400000
"Belita",400000
"BookMeIn",400000
"Capabiliti",400000
"Celerix",400000
"dishq",400000
"Fitso",400000
"Furdo",400000
"HealthyWorld.in",400000
"MockBank",400000
"Nuvepro",400000
"Paperflite",400000
"Ressy",400000
"Tradelab",400000
"World Art Community",400000
"zippserve",390000
"KNAB Finance",385000
"Stuffed",385000
"Bizom",382000
"Digio",375000
"MaalGaadi",375000
"Vithi.com",375000
"WebAlligator",375000
"TripShelf",373000
"Truce",370000
"Biryani Blues",368000
"CreditSeva",360000
"Streak",354600
"AdStringO",350000
"AirZaar",350000
"AllIzHealth",350000
"Ark Robot",350000
"Eattreatonline",350000
"GameZop",350000
"Muvizz",350000
"Plabro",350000
"Stockal",350000
"Torqus",350000
"Zakoopi",350000
"OneStepUp",336000
"Refiral",330000
"Ithaka",325000
"Mindler",324000
"LoanBaba",320000
"Myonsto",320000
"Sattviko",320000
"Board Infinity",319605
"The/Nudge Foundation",315000
"VioletStreet",315000
"Digilend",312000
"Quifers",310000
"Synctag",307600
"CollPoll",306000
"Black White Orange",303000
"99PerHour",300000
