"industry","funds_per_industry"
"E-Commerce Delivery locker services",9000000
"End-to-End Lending platform",8000000
"Home Design & Decor solutions",8000000
"Gesture based Mobile Development",7700000
"Tech Recruitment platform",7500000
"Designer fashion Jewellery Marketplace",7500000
"Celebrity Fashion Brand",7500000
"Investment",7500000
"Credit Card Fraud protection solutions",7500000
"Food Discovery & Delivery Mobile app",7500000
"Human Resource",7300000
"Non-profit Organization Management",7086000
"Language Learning App",6500000
"Spa & Salon Management Software",6000000
"Legal Services",6000000
"Ready to cook packaged Foods",6000000
"Auto Rickshaw Based Services",6000000
"Online Homeopathy Clinic",6000000
"Digital Marketing",5500000
"Big Data Management Platform",5000000
"Hyper-local Online Services",5000000
"Alternate Mobile Monetization platform",5000000
"Online Branded Furniture etailer",5000000
"Travel Tech",5000000
"Data Driven recruitment recommendation",5000000
"IT/Customer Engagement Consulting",5000000
"Contact Center Software Platform",5000000
"Real Estate Rating & Analysis",5000000
"Payment Solutions platform",4850000
"Custom Made furniture e-tailer",4500000
"Publishing",4430000
"Mobile Marketing Automation Platform",4250000
"Mobile Commerce Platform",4234000
"Data Analytics Platform",4200000
"Hyperlocal Grocery Delivery Service",4000000
"Online Learning Platform",4000000
"Cross-channel CRM platform",4000000
"Material Collection & Recycling",4000000
"Language Localization Cloud platform",4000000
"Viral Content web Platform",4000000
"Consumer Goods",3700000
"E-Commerce Discount & Cashback coupons platform",3700000
"Startup Analytics platform",3500000
"Modular Furnishings Marketplace",3500000
"Fashion and Apparel",3348000
"Data Driven Publishing platform",3300000
"B2C Messaging App",3000000
"Real Estate Intelligence Platform",3000000
"Online Real Estate Marketplace",3000000
"Hyperlocal Handyman services",3000000
"Performance Optimization Platform for athletes",3000000
"Mobile accessories online store",3000000
"Early Cancer Detection Solutions",3000000
"Online School for Analytics learning",3000000
"Real Estate Mobile CRM",2950000
"Agriculture",2739034.68
"Hyperlocal Handyman Services",2650000
"Flat rental Mobile App",2500000
"conversational commerce mobile app",2500000
"Mobile Point of Sale solutions",2500000
"Educaion",2500000
"Mobile Messaging Assistant App",2500000
"Hyperlocal Maintenance & Repair & Cleaning services",2400000
"Medical Tech Instruments",2400000
"Business intelligence & Analytics",2400000
"Restaurant customer engagement platform",2300000
"Digital & Physical Publishing platform",2250000
"Online Security Platform",2000000
"Sports Education Platform",2000000
"Solar Power Solutions company",2000000
"Hasbro Toy Manufacturer",2000000
"On-demand Service marketplace",2000000
"Cloud Data Integration Platform",2000000
"Home Cooked Food marketplace & Delivery",2000000
"Consulting",2000000
"Product discovery & recommendation platform",2000000
"Dairy Based Product Manufacturer",1800000
"Last Minute Travel Deals mobile marketplace",1800000
"Doorstep fuel delivery service",1600000
"F&B sector Mobile Payment platform",1600000
"Online Jewelry Store",1600000
"Mobile Chat based concierge service",1600000
"Social Network",1597000
"Micro-Brewery",1530000
"Skill Training Startup",1500000
"Private Coaching Centers",1500000
"Wealth Management Platform",1500000
"Two-Wheeler Taxi Service",1450000
"Virtual Reality Headset creator",1430000
"Investment management",1400000
"Crowd Funding Platform",1400000
"Real Estate Broker network App",1350000
"Online Kitchen Furniture",1250000
"Indian Ethnic Crafts Etailer",1200000
"Cross-device retargeting platform",1200000
"OnDemand Mobile Handyman Services",1200000
"Mobile App testing platform",1200000
"Electric Scooter Manufacturer",1200000
"Innovative Water Solutions",1200000
"Asset Financing platform",1100000
"Staffing & Recruiting",1100000
"Consumer Internet",1050000
"Waste Management Service",1028600
"Custom Merchandize platform",1000000
"Reality",1000000
"Marketing/Advertising Automation platform",1000000
"On-demand food delivery platform ",1000000
"Structural & Civil Engg Service Automation",1000000
"Corporate Wellness App",1000000
"CRM/Analytics platform",1000000
"Video Intelligence Platform",1000000
"API Workflow platform",1000000
"Deep Learning Cloud Algorithms",1000000
"Mobile Game development & Design platform",1000000
"Professional Training & Coaching
",1000000
"visual search and discovery platform",1000000
"Location Based App",1000000
"Mobile Only Shopping Assistant",1000000
"Online Fashion Video Portal",1000000
"Online Home Decor",1000000
"Chain of Tea Cafes",1000000
"Online Product Comparison",1000000
"Used Gadgets Buy/Refurbishing",1000000
"Digital Signal processing platform",1000000
"Personalized Styling platform",1000000
"On-Demand App based Professional service provider",1000000
"pre-used apparel shopping mobile app",1000000
"Luxury goods Shopping Platform",900000
"Interactive How-To Guides",900000
"virtual reality & 3d simulation and stereoscopic products",800000
"Tech Platform for property brokers",785000
"Multilingual Test Preparation Platform",770000
"Career Community for Women",770000
"Job Search Platform",760000
"Bus Aggregation and rental mobile app",750000
"Pre-School Chain",685000
"Fast food Chain Franchisee",630000
"Hyperlocal Electronics repair Service",630000
"Customer Engagement Platform",625000
"Online marketplace for Photographers",600000
"Numerical Computing & Data Science Platform",600000
"Visual Blogging platform",600000
"Branded Food products online sales",600000
"Community Driven News/Views Platform",600000
"Warranty Programs Service Administration",600000
"Probiotic Technology Products Manufacturer",550000
"Workforce Management Software",550000
"Sports",546000
"character merchandize sales platform",540000
"Kids Tool kit for Innovation platform",530000
"FMCG",520000
"Digital Analytics Platform",500000
"Loyalty Programs & Reward Points",500000
"Enterprise Marketing Automation platform",500000
"Event",500000
"Mobile Growth Hacking Platform",500000
"Professionals & Project Search Marketplace",500000
"Online Food Community Platform",500000
"Parents focused Web Content",500000
"Smartwatch Maker",500000
"Delivery Service",500000
"Renewable energy solutions",500000
"Internet Network Infrastructure Services",500000
"Hyperlocal Grocery App",500000
"Architectural Design & Consulting",500000
"App Analytics platform",500000
"Video Advertisement Platform",500000
"Online Table Reservation",500000
"App security testing platform",500000
"Online Coupon & comparison platform",500000
"Mobile Car Servicing appointment app",500000
"Hiring Analytics platform",500000
"Taxi Rental platform",500000
"Event Ticketing platform",490000
"Online Food-Tech Platform",470000
"Online Vehicle Spare Parts etailer",460000
"Online Jewellery etailer",455000
"Public Commute helper App",450000
"B2B Mobile Auction Marketplace",450000
"Business Development",437000
"Online Student & Campus Social Networking platform",400000
"Government Test Preparation platform",400000
"Employee OnBoarding & Orientation platform",400000
"Restaurant Discount app",400000
"Professional Service Appointment booking service",400000
"Online Interior Designing platform",400000
"Custom Furniture Marketplace",395000
"Banking",360000
"Fashion Discovery platform",350000
"Picture creation & Social mobile app",350000
"Movie-on-demand platform",350000
"Restaurant Management Platform",350000
"Career Councelling",324000
"Online Loans Marketplace",320000
"Ride Sharing platform",320000
"Non Profit Organization to alleviate poverty",315000
"Physical Storage warehouses",300000
"Mobile Learning Solutions",300000
"Food Customer analytics platform",300000
"Clean-tech",293000
"Online Job skills Showcase",270000
"Smart Safety Wearable Devices",250000
"Robotic Program learning",250000
"mobile social network",250000
"Professional Custom creators Marketplace",250000
"Cricket Management Mobile Game",250000
"Bespoke Merchandize Marketplace",250000
"Online Fashion Aggregator",250000
"Career Development",250000
"Real-Time stock data platform",235000
"Document Digitization platform",230000
"Renewables & Environment",225000
"Exam Preparation Platform",220000
"Study Material Marketplace",205000
"Online Products Discovery Platform",200000
"International Hiring Platform",200000
"Online Art Marketplace",200000
"Device Repair Svcs",200000
"On-Demand Business messaging",200000
"Cab search Comparison & Booking platform",200000
"Web Content Publishing",200000
"Logistics Intelligence",180000
"Educational Board Games",168000
"Digital/Mobile Wallet",165000
"Price Comparison",165000
"Local Shopping",160000
"Online RTI application services",150000
"Sporting Goods",150000
"Online Movie Review Platform",150000
"Fashion",150000
"On-demand Maids Service Provider",150000
"Information Services",150000
"Premium Apparel shopping portal",150000
"Domestic Help Aggregation platform",150000
"Online Food Ordering Marketplace",150000
"New Curation Mobile App",150000
"Waste Management",148000
"Photography",147000
"Online Marketplace",143000
"Digital Marketing Services",140000
"coupons and cashback aggregator app",125000
"Video Streaming",120000
"Social Network for Artists",120000
"On Demand Laundry Services App",110000
"Gym & Fitness Studios Subscription platform",100000
"Home Made Food Marketplace",100000
"Home Services",100000
"Online Car Rental Affiliates",100000
"Social platform for traders and investors",100000
"Artificial Intelligence platform
",100000
"Music",100000
"Car Maintenance & Management mobile app",100000
"Cloud Based Collaboration platform",100000
"Picture based Social App",100000
"Cab Sharing service Mobile app",100000
"Online Media",89000
"proximity marketing & Mobile Advertising platform",80000
"Personalized Wish List creator app",50000
"Aerospace & aviation",40000
"Newspaper",25000
"Coupon Aggregator Platform",20000
